seed,cond,method,ece,brier,nll
14,img_subset,uncalibrated,0.25898800232981023,0.3134561519628602,1.1740121850187015
14,img_subset,static_temp,0.1869981347665417,0.27435711074031327,0.8065990986349304
14,img_subset,transcal,0.1546670314492586,0.26746186555972934,0.7685566712657788
14,img_subset,mora_global,0.11185057684946927,0.2562696664276926,0.7194458424729634
14,img_subset,mora_permod,0.10969973892817382,0.25598557090628055,0.718637757465132
14,clin_subset,uncalibrated,0.18644428264855897,0.279264550369349,0.8023292138625354
14,clin_subset,static_temp,0.10738489883630184,0.25215493927226057,0.7004022742725715
14,clin_subset,transcal,0.11329145904883069,0.24950378077470725,0.6929615663775954
14,clin_subset,mora_global,0.1059728463869016,0.24760109609149653,0.6878665936158664
14,clin_subset,mora_permod,0.10195513904734167,0.24752328341566696,0.6876791144245727
15,clean,uncalibrated,0.16332192542698418,0.24808110520643095,0.7308912065489657
15,clean,static_temp,0.08264146417116783,0.23545856229885165,0.6642464293922937
15,clean,transcal,0.045030705295247005,0.23349106397722,0.6614030892446278
15,clean,mora_global,0.0689168457041683,0.23478214468393105,0.6626020589487376
15,clean,mora_permod,0.06521802289310996,0.23531791416560846,0.6638326318465224
15,img_subset,uncalibrated,0.2849889325745557,0.3153002832727002,1.2713133567406167
15,img_subset,static_temp,0.11226895847587097,0.2579433364721111,0.7300389054073536
15,img_subset,transcal,0.14867963372332021,0.2680012923395121,0.7824951456468876
15,img_subset,mora_global,0.10869183814994825,0.2559853715227145,0.7234773394389646
15,img_subset,mora_permod,0.10003508214970505,0.2551632536791729,0.7203973551445888
15,clin_subset,uncalibrated,0.13688447568862963,0.25469881535373484,0.745439526032961
15,clin_subset,static_temp,0.07644186519033666,0.23671922827848982,0.6667474764033794
15,clin_subset,transcal,0.048185644826788374,0.2354210030068187,0.6652705320185567
15,clin_subset,mora_global,0.06636082637455967,0.23580047678676722,0.6646040121441621
15,clin_subset,mora_permod,0.06345832332666354,0.23641812417320832,0.6660278823960227
16,clean,uncalibrated,0.18543984659756738,0.2752613667553698,0.7863290269427675
16,clean,static_temp,0.09824035940387171,0.2516330509800271,0.7011616586421612
16,clean,transcal,0.12361541671531442,0.2590106616183705,0.7244062875707248
16,clean,mora_global,0.08081325094064365,0.24821916213712406,0.6909851256944731
16,clean,mora_permod,0.08201120690804435,0.24738167718276646,0.6886825380479882
16,img_subset,uncalibrated,0.27225342659473384,0.31744705519827005,1.3668980102188537
