seed,cond,auroc,err_rate,aurc_conf,aurc_permod,aurc_global,aurc_random,sr_conf@0.6,sr_permod@0.6,sr_global@0.6,sr_conf@0.7,sr_permod@0.7,sr_global@0.7,sr_conf@0.8,sr_permod@0.8,sr_global@0.8,sr_conf@0.9,sr_permod@0.9,sr_global@0.9,deferred_shift_recall,attribution_acc
15,clin_subset,0.6204411764705883,0.44642857142857145,0.309871102149767,0.4193011408275145,0.38497118232138494,0.4529228117973731,0.31683168316831684,0.46534653465346537,0.45544554455445546,0.3728813559322034,0.4745762711864407,0.4491525423728814,0.40298507462686567,0.44029850746268656,0.4253731343283582,0.41721854304635764,0.4370860927152318,0.4370860927152318,1.0,1.0
16,clean,0.5030882352941175,0.47023809523809523,0.41854707930999424,0.4516209255633384,0.45902117464984893,0.4948871899988948,0.43564356435643564,0.45544554455445546,0.44554455445544555,0.4576271186440678,0.4745762711864407,0.4491525423728814,0.4626865671641791,0.4552238805970149,0.4552238805970149,0.48344370860927155,0.45695364238410596,0.46357615894039733,,
16,img_subset,0.5291176470588235,0.4583333333333333,0.4218293486279994,0.39693342527347025,0.3947035733561596,0.5304925973849192,0.46534653465346537,0.40594059405940597,0.40594059405940597,0.4576271186440678,0.4067796610169492,0.4067796610169492,0.44029850746268656,0.44029850746268656,0.44029850746268656,0.4503311258278146,0.44370860927152317,0.44370860927152317,1.0,1.0
16,clin_subset,0.5039705882352941,0.42857142857142855,0.43280777192737496,0.421413632881795,0.42458842738472696,0.3723201574413302,0.43564356435643564,0.44554455445544555,0.45544554455445546,0.423728813559322,0.4661016949152542,0.4576271186440678,0.39552238805970147,0.4626865671641791,0.44776119402985076,0.41721854304635764,0.44370860927152317,0.4304635761589404,1.0,1.0
17,clean,0.5952941176470588,0.4226190476190476,0.3228112124585606,0.38253899628579435,0.37762372516206744,0.44537235201973435,0.36633663366336633,0.40594059405940597,0.40594059405940597,0.3898305084745763,0.3983050847457627,0.3898305084745763,0.39552238805970147,0.4253731343283582,0.417910447761194,0.423841059602649,0.4304635761589404,0.4370860927152318,,
17,img_subset,0.5607352941176471,0.47619047619047616,0.4099298977783129,0.43628842816773994,0.4301271739665184,0.5136684207124058,0.42574257425742573,0.46534653465346537,0.46534653465346537,0.423728813559322,0.4830508474576271,0.4915254237288136,0.44029850746268656,0.4701492537313433,0.4701492537313433,0.45695364238410596,0.48344370860927155,0.48344370860927155,1.0,1.0
17,clin_subset,0.6152941176470588,0.43452380952380953,0.31401470228158496,0.3888243512606603,0.3875405209590516,0.48596560523175114,0.3564356435643564,0.42574257425742573,0.42574257425742573,0.3813559322033898,0.423728813559322,0.423728813559322,0.40298507462686567,0.417910447761194,0.417910447761194,0.423841059602649,0.44370860927152317,0.41721854304635764,1.0,1.0
18,clean,0.5939705882352941,0.4107142857142857,0.35170536430918253,0.3749039208369072,0.38587024419858634,0.42353979826391774,0.36633663366336633,0.31683168316831684,0.32673267326732675,0.3813559322033898,0.3559322033898305,0.3474576271186441,0.3656716417910448,0.39552238805970147,0.3805970149253731,0.40397350993377484,0.4105960264900662,0.40397350993377484,,
18,img_subset,0.5269117647058823,0.44642857142857145,0.4319855450869364,0.3980009390851794,0.41074924371125604,0.45872172433113806,0.42574257425742573,0.39603960396039606,0.39603960396039606,0.4322033898305085,0.3983050847457627,0.3983050847457627,0.44029850746268656,0.417910447761194,0.417910447761194,0.4304635761589404,0.4370860927152318,0.4370860927152318,1.0,1.0
18,clin_subset,0.6098529411764706,0.4166666666666667,0.33606527409373976,0.3416764901906183,0.3313114240256705,0.372141873213923,0.32673267326732675,0.3564356435643564,0.33663366336633666,0.3474576271186441,0.3559322033898305,0.3559322033898305,0.3582089552238806,0.3805970149253731,0.373134328358209,0.37748344370860926,0.40397350993377484,0.39072847682119205,1.0,1.0
19,clean,0.5527941176470588,0.42857142857142855,0.4205729347775468,0.4186280801402083,0.4137501931332777,0.4115329862522335,0.3564356435643564,0.40594059405940597,0.37623762376237624,0.3813559322033898,0.3983050847457627,0.3898305084745763,0.3805970149253731,0.40298507462686567,0.40298507462686567,0.423841059602649,0.41721854304635764,0.4304635761589404,,
19,img_subset,0.46308823529411763,0.5,0.49776382851030926,0.4201692631902144,0.41764523495763023,0.410401322792324,0.5247524752475248,0.39603960396039606,0.39603960396039606,0.5,0.4406779661016949,0.4322033898305085,0.5,0.4626865671641791,0.4626865671641791,0.4966887417218543,0.4966887417218543,0.4966887417218543,1.0,1.0
19,clin_subset,0.5438235294117647,0.44047619047619047,0.4280685458161354,0.45424825237138206,0.44633221569728576,0.452622017354788,0.3564356435643564,0.43564356435643564,0.4158415841584158,0.3813559322033898,0.4322033898305085,0.4491525423728814,0.39552238805970147,0.4626865671641791,0.44776119402985076,0.423841059602649,0.46357615894039733,0.46357615894039733,1.0,1.0
